name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Pseudomonadota,8.906802066115894,8.883341232468212,9.15746673910166
Myxococcota,6.04018672735455,5.893845157453971,6.118064633672122
Planctomycetota,5.707296069145857,5.554571021481019,5.747063134213785
Verrucomicrobiota,4.123726127844719,3.9753957503807444,4.243795271548682
Kiritimatiellota,0.7799637663412399,0.6487682764595624,0.6789195883440876
Chlamydiota,-0.09731492371839161,-0.23612559868463867,-0.1729945502794631
Candidatus Omnitrophota,-0.4054955161491799,-0.7024994571788734,-0.7336229934856564
Lentisphaerota,-2.3165183721212133,-2.2975486036929658,-2.0188212191853516
Acidobacteriota,5.347058331967475,5.15061880446954,5.397356773320862
Bacteroidota,4.614289110430166,4.534520499730916,4.746336022683268
Rhodothermota,3.407850696273994,3.279076642140603,3.3628469610745113
Chlorobiota,1.9319768304995752,1.738586537359841,1.7957868037690532
Ignavibacteriota,-0.6678597788415231,-1.0447856607078014,-1.2050460651141806
Balneolota,-0.8719551334433837,-1.0146326228402052,-0.8071855601212841
Gemmatimonadota,4.12295974640478,4.012174814712412,4.186150832368354
Fidelibacterota,-1.4923429516110034,-1.4708700505977832,-1.5392481486914749
Fibrobacterota,-1.685246614002759,-1.7796055265958006,-1.5715090103892695
Candidatus Cloacimonadota,-4.149099625869554,-3.550311482902627,-3.6029412242761953
Thermodesulfobacteriota,4.941809227889091,4.742299498036357,4.763167290297016
Nitrospirota,3.4476690525164706,3.059711262942586,2.8105176080960876
Spirochaetota,2.416165094517951,2.273843140401259,2.4379084233099797
Thermomicrobiota,2.1859543760717988,2.1379341280276436,2.079787716607713
Campylobacterota,2.1438571894259666,2.0137297579739024,2.0720986569431763
Bdellovibrionota,1.1109962791570176,0.9069384494581255,1.1452463446302525
Nitrospinota,0.5958322546676407,0.5314541742223262,0.49763376476694277
Aquificota,0.11358000469291978,-0.11230024910168289,-0.45127426875384313
Chrysiogenota,-0.4114302516337733,-0.46496716994465503,-0.5825164570342638
Deferribacterota,-0.565580930468968,-0.7699407374688448,-0.8540691456537222
Calditrichota,-0.7313731840594353,-0.9112542693587888,-1.0002516545725444
Atribacterota,-1.128674977530038,-1.5693101217946563,-1.4057167580510792
Dictyoglomota,-1.315886517107424,-1.7585521178412309,-1.5552484897818997
Caldisericota,-1.4923429516110034,-1.5867018642040451,-2.0188212191853516
Elusimicrobiota,-1.5841504991772168,-1.8011117313542298,-1.731139153143827
Coprothermobacterota,-1.7287317249968714,-1.2477265024085733,-2.098863924722136
Thermosulfidibacterota,-2.1341968219939247,-2.103392595554529,-2.6866505674020336
Thermodesulfobiota,-3.2328090439953723,-3.837993513687747,-2.7920110775043043
Actinomycetota,9.006640732445526,9.07743695435077,9.304269897681202
Bacillota,5.641344950483394,5.542764343926969,5.5536685502922065
Cyanobacteriota,4.106078989908489,4.021869823431607,4.015125456496912
Chloroflexota,3.5040391831267073,3.340678924873901,3.382816095466109
Armatimonadota,1.631643640694412,1.6279545282823096,1.6519464599972549
Vulcanimicrobiota,1.6262277667255696,1.5146540315279502,1.5830468329972305
Mycoplasmatota,0.3699676137899528,0.3389544129604557,0.22570004993029905
Deinococcota,4.179653077804951,4.0971165491360555,4.1648517200822
Synergistota,2.1312959635588373,1.9519664910525376,2.003320170737872
Thermotogota,0.5190451116273751,0.43170377167656454,0.2472062550934457
Candidatus Bipolaricaulota,0.4807629251479648,0.4270308659880901,0.30657852844010586
Candidatus Saccharibacteria,-0.6912071426568062,-0.7855660552498478,-0.7125695844355782
Candidatus Fervidibacterota,-1.4749512092016146,-1.5354085706936877,-1.8111818592147992
Candidatus Absconditibacteriota,-2.762805452249634,-3.4325284611351305,-3.379797697961983
Candidatus Paceibacterota,-3.7436346010947052,-4.020315037148374,-4.072944778521943
Fusobacteriota,-0.565580930468968,-0.6599398430620097,-0.45663621186647785
Methanobacteriota,5.356909339243695,5.283387965250254,5.380796370604584
Thermoplasmatota,-0.7479024858740339,-1.0758762474555983,-1.160594303037418
Nitrososphaerota,3.3158396659998273,2.978194405284895,2.054360791933963
Thermoproteota,1.0576502985228868,0.8363915762103745,0.8308472214399634
Candidatus Micrarchaeota,-2.6450224235376942,-3.837993513687747,-4.072944778521943
Candidatus Nanohalarchaeota,-3.137498873281956,-4.5311405275810674,-3.1974761578346933
Nanobdellota,-4.8422465564295925,,
Promethearchaeota,-3.925956124555333,-3.327167956588414,-3.7364725990435774
Chordata,3.4817253974451297,3.307333886725491,3.506120786513193
Heterolobosea,-5.535393236989913,,-5.682381890956523
Uroviricota,1.741853490333156,1.7404774928543492,1.8998463038298623
Peploviricota,-0.3042856147872329,-0.3364483198328368,-0.37907797792182324
Nucleocytoviricota,-0.9302240410013218,-1.0971536456765107,-1.0284225312746904
Preplasmiviricota,-2.9704448026048023,-2.739381336130736,-2.8491694880762792
Lenarviricota,-2.762805452249634,-4.5311405275810674,-4.9892352103962025
Pisuviricota,-2.827343969220539,-2.739381336130736,-2.6378604056135537
Kitrinoviricota,-3.338169548542089,-3.064803715197844,-3.043325489912196
Negarnaviricota,-3.4559525703095852,-3.550311482902627,-2.8491694880762792
Duplornaviricota,-4.149099625869554,-3.837993513687747,-4.583770268954636
Artverviricota,-5.535393236989913,-4.936605469022634,-4.072944778521943
Cossaviricota,-3.925956124555333,-3.837993513687747,-3.379797697961983
Cressdnaviricota,-5.535393236989913,-3.683842857670009,-5.682381890956523
Hofneiviricota,-4.149099625869554,-4.5311405275810674,
Saleviricota,-4.8422465564295925,-5.629752149582955,
Phixviricota,,,-5.682381890956523
Dividoviricota,-3.7436346010947052,-4.243458538462596,-3.379797697961983
Taleaviricota,-5.535393236989913,-5.629752149582955,-5.682381890956523
